SOURCE_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,OWNER_DESCR,STATE,COUNTY
Los Padres National Forest,2015,2457275.5,253,158.0,1,Lightning,2457277.5,255.0,2000.0,USFS,CA,111
Los Padres National Forest,2015,2457274.5,252,1638.0,1,Lightning,2457276.5,254.0,2000.0,USFS,CA,111
Los Padres National Forest,2015,2457275.5,253,153.0,1,Lightning,2457277.5,255.0,2000.0,USFS,CA,111
Los Padres National Forest,2015,2457275.5,253,151.0,1,Lightning,2457281.5,259.0,1800.0,USFS,CA,111
Los Padres National Forest,2015,2457236.5,214,1520.0,9,Miscellaneous,2457245.5,223.0,1400.0,USFS,CA,111
Los Padres National Forest,2015,2457254.5,232,2103.0,7,Arson,2457256.5,234.0,2100.0,USFS,CA,053
Mendocino National Forest,2015,2457165.5,143,1800.0,1,Lightning,2457168.5,146.0,900.0,USFS,CA,045
Modoc National Forest,2015,2457224.5,202,1700.0,1,Lightning,2457228.5,206.0,1700.0,USFS,CA,049
Modoc National Forest,2015,2457124.5,102,1700.0,9,Miscellaneous,2457126.5,104.0,1300.0,STATE,CA,049
Modoc National Forest,2015,2457182.5,160,2002.0,1,Lightning,2457184.5,162.0,2051.0,USFS,CA,049
Modoc National Forest,2015,2457182.5,160,1900.0,1,Lightning,2457187.5,165.0,1700.0,USFS,CA,049
Modoc National Forest,2015,2457182.5,160,1900.0,1,Lightning,2457184.5,162.0,1400.0,USFS,CA,049
Modoc National Forest,2015,2457233.5,211,1900.0,1,Lightning,2457323.5,301.0,1400.0,USFS,CA,049
Modoc National Forest,2015,2457224.5,202,2200.0,1,Lightning,2457226.5,204.0,1600.0,USFS,CA,049
Six Rivers National Forest,2015,2457234.5,212,2040.0,1,Lightning,2457249.5,227.0,1937.0,USFS,CA,093
Six Rivers National Forest,2015,2457235.5,213,1400.0,1,Lightning,2457238.5,216.0,1300.0,USFS,CA,023
Six Rivers National Forest,2015,2457182.5,160,830.0,1,Lightning,2457184.5,162.0,1135.0,USFS,CA,015
Six Rivers National Forest,2015,2457236.5,214,1600.0,1,Lightning,2457270.5,248.0,2100.0,USFS,CA,015
Six Rivers National Forest,2015,2457182.5,160,1100.0,1,Lightning,2457186.5,164.0,1900.0,USFS,CA,023
Six Rivers National Forest,2015,2457234.5,212,2300.0,1,Lightning,2457238.5,216.0,1100.0,USFS,CA,015
Six Rivers National Forest,2015,2457236.5,214,1549.0,1,Lightning,2457270.5,248.0,2000.0,USFS,CA,015
Six Rivers National Forest,2015,2457236.5,214,1222.0,1,Lightning,2457326.5,304.0,2000.0,USFS,CA,015
Six Rivers National Forest,2015,2457233.5,211,2122.0,1,Lightning,2457325.5,303.0,1000.0,USFS,CA,023
Six Rivers National Forest,2015,2457235.5,213,210.0,1,Lightning,2457325.5,303.0,1000.0,USFS,CA,023
